"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"AnCnoc Peter Arkle (all releases)","8.48","0.34","6","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc Rutter","9.03","0.29","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Angel's Envy Bourbon","8.51","0.5","9","$$$","Bourbon-like","","","USA","Bourbon"
"Angel's Envy Cask Strength","8.88","0.35","5","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Angel’s Envy Rye Whiskey (Rum-Finished)","8.75","0.68","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Ardbeg 10yo","9.03","0.34","19","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.1","0.14","12","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog The Ultimate","9.08","0.48","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","9","0.31","13","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.22","0.26","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Galileo","8.59","0.51","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg Perpetuum","8.91","0.33","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2014","9.11","0.32","12","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.15","0.34","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.25","0.45","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardmore Traditional Cask","8.58","0.19","17","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Machrie Moor Peated (all editions)","7.91","0.63","10","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Arran Malt 10yo","8.58","0.35","18","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.6","0.48","10","$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Arran Malt 14yo","8.72","0.29","17","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 17yo","8.86","0.26","9","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Arran Malt 18yo","8.91","0.36","8","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Arran Malt Amarone Cask Finish","8.83","0.4","8","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Arran Malt Madeira Wine Cask","8.62","0.45","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Port Cask Finish","8.59","0.41","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Sauternes Finish","8.51","0.35","9","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Sherry Cask","8.22","0.53","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Robert Burns Single Malt","8.17","0.63","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Auchentoshan 10yo","7.83","0.33","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan 12yo","8.32","0.27","19","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 18yo","8.44","0.3","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 21yo","8.75","0.34","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan American Oak","7.5","0.93","6","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Classic","7.92","0.39","7","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Three Wood","8.23","0.44","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Auchentoshan Valinch","8.2","0.74","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Virgin Oak","8.22","0.59","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.11","0.14","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aultmore 12yo","8.37","0.17","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bain's Cape Mountain Whisky","8.03","0.4","5","$$","Scotch-like","","","South Africa","Grain"
"Baker’s Kentucky Straight Bourbon 7yo","8.85","0.32","13","$$$","Bourbon-like","","","USA","Bourbon"
"Balblair 1989","8.58","0.43","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 2000","8.38","0.33","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Balcones Baby Blue","8.42","0.61","9","$$$$","Bourbon-like","","","USA","Whiskey"
"Balcones Texas Single Malt Whisky","8.81","0.24","8","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Ballantine's 17yo","8.77","0.34","12","$$$$","Scotch-like","","","Scotland","Blend"
"Ballantine's Finest","7.6","0.65","11","$","Scotch-like","","","Scotland","Blend"
"Balvenie 12yo Doublewood","8.46","0.37","17","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 12yo Single Barrel","8.7","0.41","8","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 12yo Triple Cask","8.24","0.44","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 14yo Carribean Cask","8.51","0.42","12","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.89","0.27","17","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.66","0.28","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 17yo Doublewood","8.72","0.27","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 21yo Port Wood","8.76","0.41","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.19","0.33","13","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (both batches)","9.06","0.24","8","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Bank Note 5yo Blended Scotch","8.26","0.62","4","$","Scotch-like","","","Scotland","Blend"
"Basil Hayden’s Kentucky Bourbon","8.45","0.29","10","$$$","Bourbon-like","","","USA","Bourbon"
"Bell's Original Scotch Whisky","7.48","0.79","6","$","Scotch-like","","","Scotland","Blend"
"Ben Nevis 10yo","8.17","0.46","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 10yo","8.6","0.13","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 10yo Curiositas","8.6","0.32","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 12yo","8.41","0.3","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.72","0.25","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 15yo Tawny Port Finish","8.53","0.23","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.55","0.59","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.93","0.25","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.9","0.51","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.94","0.34","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 18yo Dunder","8.74","0.23","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 20yo","8.25","0.77","9","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 25yo","8.82","0.5","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach Birnie Moss","8.28","0.4","9","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benrinnes 15yo F&F","7.91","0.8","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo","8.74","0.3","17","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach Peat Smoke","8.49","0.27","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bernheim Original Straight Wheat","8.36","0.59","15","$$","Bourbon-like","","","USA","Wheat"
"Bernheim Original Straight Wheat 7yo Small Batch","8.57","0.6","3","$$","Bourbon-like","","","USA","Wheat"
"Big Peat (Douglas Laing)","8.85","0.22","13","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Big Peat Christmas Edition (2012-2015)","8.88","0.14","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Black Bottle (after 2013 re-launch)","7.71","0.41","9","$$","Scotch-like","","","Scotland","Blend"
"Black Bottle (pre-2013)","8.3","0.5","11","$$","Scotch-like","","","Scotland","Blend"
"Black Grouse","8","0.51","18","$$","Scotch-like","","","Scotland","Blend"
"Black Velvet 3yo","7.93","0.78","8","$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.16","0.8","7","$","Rye-like","","","Canada","Blend"
"Blair Athol 12yo (F&F)","8.41","0.56","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Blanton's Gold Kentucky Straight Bourbon","8.67","0.52","9","$$$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Single Barrel Bourbon","8.63","0.34","15","$$$","Bourbon-like","","","USA","Bourbon"
"Booker's Small Batch Straight Bourbon","8.92","0.27","12","$$$","Bourbon-like","","","USA","Bourbon"
"Bowmore 12yo","8.41","0.25","14","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 15 Darkest","8.6","0.36","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15 Laimrig","9.05","0.18","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 18yo","8.57","0.47","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 25yo","8.96","0.48","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Small Batch","8.45","0.32","9","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Tempest 10yo","8.84","0.22","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Brora 21yo","8.79","0.48","3","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.36","0.22","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 35yo","9.52","0.42","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Black Art 4 1990","8.45","0.62","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Laddie Classic","8.45","0.61","6","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten","8.87","0.36","12","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.73","0.28","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","9.02","0.39","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated","8.75","0.23","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte An Turas Mor","8.82","0.34","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 Tro Na Linntean","9.01","0.54","6","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte Scottish Barley","8.85","0.26","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.65","0.3","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Buffalo Trace Bourbon","8.58","0.46","17","$$","Bourbon-like","","","USA","Bourbon"
"Bulleit 10yo","8.57","0.47","8","$$$","Bourbon-like","","","USA","Bourbon"
"Bulleit Bourbon","8.44","0.42","15","$$","Bourbon-like","","","USA","Bourbon"
"Bulleit Rye","8.24","0.72","14","$$","Rye-like","","","USA","Rye"
"Bunnahabhain 12yo","8.56","0.41","11","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain 18yo","8.9","0.36","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 25yo","8.91","0.28","11","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.79","0.32","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Toiteach","8.56","0.43","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bushmills 10yo Single Malt","8.2","0.3","15","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Bushmills 16yo Single Malt","8.49","0.52","15","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Bushmills 21yo Single Malt","8.96","0.33","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Bushmills Black Bush","8.38","0.44","18","$$","Scotch-like","","","Ireland","Blend"
"Bushmills Original Blended","7.74","0.45","12","$$","Scotch-like","","","Ireland","Blend"
"Canada Gold","8.08","0.72","5","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.29","0.87","13","$","Rye-like","","","Canada","Blend"
"Canadian Club 100% Rye","8.55","0.43","9","$","Rye-like","","","Canada","Rye"
"Canadian Club 20yo","8.69","0.33","9","$$$","Rye-like","","","Canada","Blend"
"Canadian Club 30yo","9.06","0.18","6","$$$$$","Rye-like","","","Canada","Blend"
"Canadian Club Classic 12yo (Small Batch)","8.22","0.35","12","$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 10yo","8.39","0.67","9","$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 9yo","8","0.47","5","$","Rye-like","","","Canada","Blend"
"Canadian Club Sherry Cask","8.22","0.63","8","$$","Rye-like","","","Canada","Blend"
"Canadian Mist","7.62","0.67","11","$","Rye-like","","","Canada","Blend"
"Canadian Mist Black Diamond","8.07","0.54","6","$","Rye-like","","","Canada","Blend"
"Canadian Rockies 21yo (Batch 1/2)","8.89","0.22","3","$$","Rye-like","","","Canada","Blend"
"Caol Ila 12yo","8.74","0.2","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 18yo","8.66","0.54","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 30yo","9.34","0.25","8","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila Distiller's Edition (all editions)","8.74","0.39","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Cardhu 12yo","8.13","0.49","17","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Cardhu Amber Rock","8.29","0.29","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Caribou Crossing Single Barrel","8.6","0.46","10","$$$$","Rye-like","","","Canada","Blend"
"Catto's Rare Old","8.13","0.73","5","$","Scotch-like","","","Scotland","Blend"
"Centennial 10yo","8.42","0.34","6","$","Rye-like","","","Canada","Blend"
"Century Reserve 21yo","8.78","0.21","9","$$","Rye-like","","","Canada","Blend"
"Century Reserve Lot 15/25","8.37","0.89","5","$","Rye-like","","","Canada","Blend"
"Chivas Regal 12yo","7.77","0.45","19","$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.21","0.55","12","$$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 25yo","8.74","0.22","7","$$$$$+","Scotch-like","","","Scotland","Blend"
"Chivas Royal Salute 21yo","8.57","0.65","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Clynelish 14yo","8.81","0.26","13","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Collingwood","8.03","0.34","8","$$","Rye-like","","","Canada","Blend"
"Collingwood 21yo","8.69","0.46","8","$$$","Rye-like","","","Canada","Blend"
"Colonel E.H. Taylor Straight Rye","8.8","0.49","3","$$$$","Rye-like","","","USA","Rye"
"Colonel EH Taylor Barrel Proof","8.77","0.22","4","$$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Single Barrel","9.02","0.12","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Small Batch (BiB)","8.58","0.32","9","$$$$","Bourbon-like","","","USA","Bourbon"
"Compass Box Asyla","8.24","0.51","9","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Flaming Heart","8.95","0.39","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Great King St Artist's Blend","8.6","0.41","15","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Great King St Glasgow Blend","8.57","0.27","10","$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.62","0.47","13","$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.93","0.49","6","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Oak Cross","8.85","0.32","9","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Compass Box Orangerie","7.92","0.96","6","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Peat Monster","8.68","0.32","15","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Spice Tree","8.82","0.34","15","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Compass Box The Lost Blend","9.03","0.27","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.79","0.41","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Connemara Peated Single Malt","8.19","0.38","14","$$$","SingleMalt-like","I","I","Ireland","Malt"
"Connemara Turf Mor","8.77","0.47","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"Corner Creek Reserve Bourbon Whiskey","8.69","0.4","6","$$","Bourbon-like","","","USA","Bourbon"
"Coyote Ugly","8.09","0.51","5","$","Rye-like","","","Canada","Blend"
"Cragganmore 12yo","8.33","0.39","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore 25yo","9.11","0.05","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Craigellachie 13yo","8.46","0.36","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Craigellachie 14yo","8.31","0.29","5","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Craigellachie 17yo","8.58","0.31","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Crown Royal Black","8.24","0.53","15","$$","Rye-like","","","Canada","Blend"
"Crown Royal Hand Selected Barrel","8.81","0.27","7","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Limited Edition","8.3","0.21","10","$$","Rye-like","","","Canada","Blend"
"Crown Royal Monarch 75th Anniversary","8.89","0.52","7","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Northern Harvest Rye","8.72","0.42","11","$$","Rye-like","","","Canada","Blend"
"Crown Royal Reserve","8.65","0.76","11","$$$","Rye-like","","","Canada","Blend"
"Crown Royal whisky","7.6","0.53","13","$","Rye-like","","","Canada","Blend"
"Crown Royal XO","8.78","0.35","5","$$$","Rye-like","","","Canada","Blend"
"Cutty Sark","7.54","0.4","10","$","Scotch-like","","","Scotland","Blend"
"Dalmore 12yo","8.51","0.24","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalmore 15yo","8.38","0.57","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Cigar Malt Reserve","8.24","0.7","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Valour","8.04","0.38","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalwhinnie 15yo","8.71","0.38","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Danfield's 21yo","8.68","0.51","11","$$","Rye-like","","","Canada","Blend"
"Deanston 12yo","8.06","0.47","12","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Deanston Virgin Oak","8.22","0.48","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Deveron 12yo (Macduff)","7.99","0.86","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dewar's White Label","7.63","0.73","12","$$","Scotch-like","","","Scotland","Blend"
"Dufftown Singleton of Dufftown 12yo","8","0.61","8","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Eagle Rare 17yo","8.82","0.43","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Eagle Rare Single Barrel 10yo","8.53","0.38","15","$$","Bourbon-like","","","USA","Bourbon"
"Edradour 10yo","8.26","0.43","10","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Elements of Islay ""Peat""","9.02","0.26","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Elijah Craig 12yo","8.74","0.31","17","$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 12yo Barrel Proof","8.88","0.31","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 18yo","8.86","0.4","9","$$$$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 21yo","9.26","0.17","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Ellington Reserve 8yo","6.92","1.06","4","$","Rye-like","","","Canada","Blend"
"Elmer T. Lee Single Barrel Bourbon","8.77","0.49","10","$$","Bourbon-like","","","USA","Bourbon"
"Evan Williams (Black Label)","8.23","0.46","11","$","Bourbon-like","","","USA","Bourbon"
"Evan Williams 1783 Small Batch","8.1","0.51","3","$","Bourbon-like","","","USA","Bourbon"
"Evan Williams Bottled in Bond (White label)","8.14","0.61","5","$","Bourbon-like","","","USA","Bourbon"
"Evan Williams Single Barrel","8.79","0.29","12","$$","Bourbon-like","","","USA","Bourbon"
"Famous Grouse","7.62","0.63","16","$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Gold Reserve","8.61","0.34","6","$$","Scotch-like","","","Scotland","Blend"
"Famous Jubilee","8.21","0.27","3","$$","Scotch-like","","","Scotland","Blend"
"Fettercairn Fior","8.57","0.39","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"FEW Bourbon","8.64","0.24","5","$$$","Bourbon-like","","","USA","Bourbon"
"FEW Rye Whisky","8.28","0.86","7","$$$$","Rye-like","","","USA","Rye"
"FEW Single Malt","8.47","0.54","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"Finlaggan Old Reserve","8.47","0.57","12","$$","SingleMalt-like","J","J","Scotland","Malt"
"Forty Creek Barrel Select","8.6","0.44","12","$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (All Batches)","8.98","0.33","16","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch A, B)","8.98","0.38","15","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch C, D)","9.02","0.35","3","$$$","Rye-like","","","Canada","Blend"
